gland,gene,secreted,secreted_clean,Mean_TPM,Mean_TPM_Male,Mean_TPM_Fem,human_gene,ortholog_type,ProteinAccessions,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10,log1p_TPM,log1p_iBAQ
PAR,A1bg,yes,yes,0.5060795463125614,0.11292505283069196,1.2923885332763,A1BG,one-to-one,Q19LI2,Alpha-1B-glycoprotein,Mus musculus,NA,63733,63733,0.1778479105182452,4.804371176025968
PAR,A2ml1,yes,yes,89.81028656342566,85.29638279921879,98.8380940918394,NA,mouse-specific,Q3UU35,Alpha-2-macroglobulin-like protein 1,Mus musculus,14042321.4,15638651.4,14840486.4,1.958135046149951,7.171448164531584
PAR,Ace,yes,yes,9.403043624604424,11.1273991634772,5.9543325468588755,ACE,one-to-one,P09470,Angiotensin-converting enzyme,Mus musculus,6156.78,4039.84,5098.3099999999995,1.017160419682206,3.7075114146340784
PAR,Acp3,yes,yes,6.9765566869306985,7.889037243651765,5.1515955734885654,ACP3,one-to-one,Q8CE08,Prostatic acid phosphatase,Mus musculus,4856.02,7895.719999999999,6375.87,0.9018154559386897,3.804607563473357
PAR,Acp7,yes,yes,0.02613862366172715,0.00700415244944397,0.0644075660862935,ACP7,one-to-one,Q8BX37,Acid phosphatase type 7,Mus musculus,660.8,2088.125,1476.4142857142858,0.011206034678960473,3.1695022940736837
PAR,Adam10,yes,yes,11.309185748174938,8.999892958553538,15.92777132741774,ADAM10,one-to-one,O35598,Disintegrin and metalloproteinase domain-containing protein 10,Mus musculus,3441.34,2390.84,2916.09,1.0902293253301478,3.464949828470517
PAR,Adamtsl1,yes,yes,1.4834054532824494,1.5319398953850485,1.3863365690772511,ADAMTSL1,one-to-one,Q8BLI0,ADAMTS-like protein 1,Mus musculus,6181.76,9512.34,7847.05,0.39504763044787933,3.894761761274915
PAR,Adgre5,yes,yes,13.079431927682514,9.439537976229463,20.359219830588614,ADGRE2 | ADGRE5,one-to-many (mouse-to-human),Q9Z0M6,Adhesion G protein-coupled receptor E5,Mus musculus,482.8,611.4,537.9142857142857,1.148585132387781,2.7315196961672856
PAR,Adgrg1,yes,yes,8.320925159680533,10.052543737481177,4.85768800407925,ADGRG1,one-to-one,Q8K209,Adhesion G-protein coupled receptor G1,Mus musculus,1060.38,1312.08,1186.23,0.9694590209165685,3.0745348622188495
PAR,Adipoq,yes,yes,53.114759536229386,38.332524493226835,82.67922962223447,ADIPOQ,one-to-one,Q60994,Adiponectin,Mus musculus,8825.5,228.7,1948.06,1.7333157329608084,3.2898252086752557
PAR,Adm2,yes,yes,3.658834371711345,4.158028223377017,2.66044666838,ADM2,one-to-one,Q7TNK8,Protein ADM2,Mus musculus,8909.54,6638.38,7773.96,0.6682772709267725,3.8906981633806805
PAR,Adpgk,yes,yes,9.828856128012925,8.612900862863913,12.260766658310946,ADPGK,one-to-one,Q8VDL4,ADP-dependent glucokinase,Mus musculus,11107.18,16681.1202,13894.1501,1.034582583723306,4.142863242531141
PAR,Afm,yes,yes,1.0516327573025743,0.7891958341119465,1.57650660368383,AFM,one-to-one,O89020,Afamin,Mus musculus,29274.701199999996,9346.680199999999,19310.6907,0.31209962459247664,4.285820297059459
PAR,Agr2,yes,yes,40.78662772710553,60.407747912644126,1.54438735602835,AGR2,one-to-one,O88312,Anterior gradient protein 2 homolog,Mus musculus,63108.279800000004,24816.3,43962.289899999996,1.6210373240365539,4.643090184478355
PAR,Agrn,yes,yes,4.744236152499105,5.018908661984407,4.1948911335285,AGRN,one-to-one,A2ASQ1,Agrin,Mus musculus,246.92,355.3,301.11,0.7592322859729352,2.4801651008871213
PAR,Agt,yes,yes,175.318368816552,210.733939957761,104.487226534134,AGT,one-to-one,P11859,Angiotensinogen,Mus musculus,3776272.35,9416405.2,6596338.775,2.246297559378773,6.819303017895326
PAR,Ahsg,yes,yes,42.2842720363322,31.07651518335075,64.6997857422951,AHSG,one-to-one,P29699,Alpha-2-HS-glycoprotein,Mus musculus,162670.96240000002,26586.1806,94628.5715,1.6363301178620302,4.976026873530766
